D:\Application\Anaconda3\envs\torch\python.exe C:/Users/meiyan/Desktop/VirtualBackground/find_lr.py
0/1375, loss:0.2944, lr:1e-08
344/1375, loss:0.2752, lr:5.639917188945902e-07
345/1375, loss:0.2721, lr:5.706418728389811e-07
346/1375, loss:0.2656, lr:5.773704402529363e-07
347/1375, loss:0.2845, lr:5.841783457274144e-07
348/1375, loss:0.2773, lr:5.910665247554349e-07
349/1375, loss:0.2802, lr:5.980359238606271e-07
350/1375, loss:0.2654, lr:6.050875007272947e-07
351/1375, loss:0.2660, lr:6.122222243320136e-07
352/1375, loss:0.2704, lr:6.194410750767818e-07
353/1375, loss:0.2701, lr:6.26745044923739e-07
354/1375, loss:0.2793, lr:6.341351375314746e-07
355/1375, loss:0.2747, lr:6.41612368392944e-07
356/1375, loss:0.2833, lr:6.491777649750093e-07
357/1375, loss:0.2654, lr:6.568323668596273e-07
358/1375, loss:0.2762, lr:6.645772258867002e-07
359/1375, loss:0.2804, lr:6.724134062986129e-07
360/1375, loss:0.2846, lr:6.80341984886473e-07
361/1375, loss:0.2743, lr:6.883640511380755e-07
362/1375, loss:0.2798, lr:6.964807073876123e-07
363/1375, loss:0.2748, lr:7.046930689671474e-07
364/1375, loss:0.2758, lr:7.130022643598774e-07
365/1375, loss:0.2824, lr:7.214094353551995e-07
366/1375, loss:0.2786, lr:7.29915737205608e-07
367/1375, loss:0.2724, lr:7.38522338785441e-07
368/1375, loss:0.2811, lr:7.472304227514977e-07
369/1375, loss:0.2741, lr:7.560411857055518e-07
370/1375, loss:0.2785, lr:7.649558383587789e-07
371/1375, loss:0.2729, lr:7.739756056981239e-07
372/1375, loss:0.2666, lr:7.8310172715463e-07
373/1375, loss:0.2679, lr:7.923354567737523e-07
374/1375, loss:0.2630, lr:8.016780633876795e-07
375/1375, loss:0.2681, lr:8.111308307896875e-07
376/1375, loss:0.2767, lr:8.206950579105493e-07
377/1375, loss:0.2712, lr:8.303720589970245e-07
378/1375, loss:0.2799, lr:8.401631637924534e-07
379/1375, loss:0.2830, lr:8.500697177194812e-07
380/1375, loss:0.2723, lr:8.600930820649354e-07
381/1375, loss:0.2708, lr:8.702346341668848e-07
382/1375, loss:0.2769, lr:8.804957676039027e-07
383/1375, loss:0.2758, lr:8.908778923865628e-07
384/1375, loss:0.2774, lr:9.013824351511924e-07
385/1375, loss:0.2655, lr:9.120108393559104e-07
386/1375, loss:0.2667, lr:9.227645654789769e-07
387/1375, loss:0.2734, lr:9.336450912194817e-07
388/1375, loss:0.2772, lr:9.446539117003989e-07
389/1375, loss:0.2575, lr:9.557925396740355e-07
390/1375, loss:0.2737, lr:9.670625057299036e-07
391/1375, loss:0.2763, lr:9.78465358505042e-07
392/1375, loss:0.2764, lr:9.900026648968196e-07
393/1375, loss:0.2740, lr:1.0016760102782464e-06
394/1375, loss:0.2724, lr:1.0134869987158241e-06
395/1375, loss:0.2709, lr:1.0254372531899659e-06
396/1375, loss:0.2721, lr:1.0375284158180135e-06
397/1375, loss:0.2777, lr:1.0497621480798862e-06
398/1375, loss:0.2650, lr:1.0621401310463888e-06
399/1375, loss:0.2648, lr:1.074664065610212e-06
400/1375, loss:0.2788, lr:1.0873356727196572e-06
401/1375, loss:0.2636, lr:1.1001566936151164e-06
402/1375, loss:0.2676, lr:1.1131288900683413e-06
403/1375, loss:0.2731, lr:1.1262540446245325e-06
404/1375, loss:0.2794, lr:1.1395339608472845e-06
405/1375, loss:0.2832, lr:1.152970463566418e-06
406/1375, loss:0.2727, lr:1.1665653991287352e-06
407/1375, loss:0.2655, lr:1.1803206356517308e-06
408/1375, loss:0.2763, lr:1.1942380632802955e-06
409/1375, loss:0.2723, lr:1.2083195944464464e-06
410/1375, loss:0.2776, lr:1.2225671641321188e-06
411/1375, loss:0.2794, lr:1.2369827301350577e-06
412/1375, loss:0.2811, lr:1.2515682733378446e-06
413/1375, loss:0.2743, lr:1.2663257979800952e-06
414/1375, loss:0.2637, lr:1.281257331933868e-06
415/1375, loss:0.2756, lr:1.29636492698232e-06
416/1375, loss:0.2792, lr:1.311650659101647e-06
417/1375, loss:0.2799, lr:1.3271166287463503e-06
418/1375, loss:0.2741, lr:1.3427649611378651e-06
419/1375, loss:0.2816, lr:1.3585978065565933e-06
420/1375, loss:0.2674, lr:1.3746173406373795e-06
421/1375, loss:0.2680, lr:1.3908257646684712e-06
422/1375, loss:0.2668, lr:1.4072253058940033e-06
423/1375, loss:0.2755, lr:1.4238182178200502e-06
424/1375, loss:0.2742, lr:1.4406067805242861e-06
425/1375, loss:0.2775, lr:1.4575933009692971e-06
426/1375, loss:0.2715, lr:1.474780113319587e-06
427/1375, loss:0.2652, lr:1.492169579262321e-06
428/1375, loss:0.2735, lr:1.5097640883318524e-06
429/1375, loss:0.2682, lr:1.5275660582380742e-06
430/1375, loss:0.2714, lr:1.5455779351986438e-06
431/1375, loss:0.2802, lr:1.5638021942751246e-06
432/1375, loss:0.2854, lr:1.5822413397130908e-06
433/1375, loss:0.2826, lr:1.6008979052862422e-06
434/1375, loss:0.2787, lr:1.6197744546445781e-06
435/1375, loss:0.2744, lr:1.6388735816666745e-06
436/1375, loss:0.2711, lr:1.6581979108161166e-06
437/1375, loss:0.2703, lr:1.6777500975021334e-06
438/1375, loss:0.2731, lr:1.697532828444485e-06
439/1375, loss:0.2809, lr:1.7175488220426516e-06
440/1375, loss:0.2756, lr:1.7378008287493772e-06
441/1375, loss:0.2801, lr:1.7582916314486157e-06
442/1375, loss:0.2810, lr:1.7790240458379357e-06
443/1375, loss:0.2746, lr:1.8000009208154326e-06
444/1375, loss:0.2676, lr:1.8212251388712038e-06
445/1375, loss:0.2812, lr:1.8426996164834394e-06
446/1375, loss:0.2669, lr:1.8644273045191838e-06
447/1375, loss:0.2763, lr:1.8864111886398222e-06
448/1375, loss:0.2725, lr:1.9086542897113486e-06
449/1375, loss:0.2679, lr:1.931159664219471e-06
450/1375, loss:0.2780, lr:1.9539304046896125e-06
451/1375, loss:0.2633, lr:1.9769696401118624e-06
452/1375, loss:0.2787, lr:2.0002805363709406e-06
453/1375, loss:0.2636, lr:2.023866296681229e-06
454/1375, loss:0.2794, lr:2.0477301620269363e-06
455/1375, loss:0.2724, lr:2.071875411607448e-06
456/1375, loss:0.2801, lr:2.0963053632879317e-06
457/1375, loss:0.2718, lr:2.121023374055254e-06
458/1375, loss:0.2801, lr:2.146032840479273e-06
459/1375, loss:0.2845, lr:2.1713371991795695e-06
460/1375, loss:0.2784, lr:2.196939927297685e-06
461/1375, loss:0.2875, lr:2.2228445429749215e-06
462/1375, loss:0.2797, lr:2.249054605835783e-06
463/1375, loss:0.2662, lr:2.2755737174771096e-06
464/1375, loss:0.2811, lr:2.3024055219629856e-06
465/1375, loss:0.2846, lr:2.3295537063254784e-06
466/1375, loss:0.2753, lr:2.357022001071285e-06
467/1375, loss:0.2814, lr:2.3848141806943512e-06
468/1375, loss:0.2637, lr:2.4129340641945344e-06
469/1375, loss:0.2777, lr:2.441385515602383e-06
470/1375, loss:0.2544, lr:2.470172444510104e-06
471/1375, loss:0.2787, lr:2.499298806608791e-06
472/1375, loss:0.2779, lr:2.5287686042319852e-06
473/1375, loss:0.2885, lr:2.5585858869056487e-06
474/1375, loss:0.2716, lr:2.5887547519046197e-06
475/1375, loss:0.2763, lr:2.6192793448156314e-06
476/1375, loss:0.2750, lr:2.6501638601069682e-06
477/1375, loss:0.2798, lr:2.6814125417048385e-06
478/1375, loss:0.2688, lr:2.7130296835765447e-06
479/1375, loss:0.2934, lr:2.745019630320529e-06
480/1375, loss:0.2696, lr:2.777386777763377e-06
481/1375, loss:0.2657, lr:2.81013557356386e-06
482/1375, loss:0.2695, lr:2.843270517824099e-06
483/1375, loss:0.2723, lr:2.876796163707939e-06
484/1375, loss:0.2694, lr:2.9107171180666085e-06
